Latitud,Longitud
20.92017,-88.87852
20.92029,-88.84875
20.92108,-88.94114
20.92173,-88.8118
20.92261,-89.6076
20.9228,-88.84553
20.92322,-88.90982
20.92325,-88.94627
20.92393,-88.95071
20.92524,-89.13842
20.92596,-89.11621
20.92632,-88.91666
20.92708,-88.87128
20.9273,-89.10931
20.92816,-89.05159
20.92823,-88.91608
20.92927,-88.90507
20.92936,-88.96393
20.92974,-88.92248
20.93056,-89.06205
20.9311,-89.38458
20.9311,-88.95004
20.93127,-89.46058
20.93215,-88.92438
20.93277,-88.95134
20.93289,-88.96573
20.93462,-89.68981
20.93662,-88.90466
20.93677,-89.69424
20.93689,-88.96493
20.93757,-88.98429
20.93799,-89.45603
20.93915,-88.90893
20.93957,-88.93113
20.93973,-88.94174
20.94238,-88.90636
20.94322,-88.91384
20.94399,-88.93401
20.944,-87.953
20.94416,-89.06478
20.94472,-89.65267
20.9452,-87.98594
20.94547,-89.07258
20.94663,-88.89154
20.94702,-87.94153
20.94733,-88.92062
20.94808,-89.42904
20.9481,-88.95396
20.9484,-89.45152
20.9488,-88.91576
20.94937,-88.90932
20.95122,-88.89738
20.95195,-89.2966
20.95196,-88.90181
20.95223,-87.96883
20.95278,-88.92233
20.95317,-87.90784
20.95349,-89.45046
20.95373,-87.95882
20.95404,-89.021
20.95494,-88.90913
20.95499,-89.0651
20.95506,-88.90148
20.95563,-89.1386
20.95612,-88.88955
20.95612,-88.75591
20.95655,-89.10924
20.95807,-88.91673
20.95807,-88.89866
20.95856,-88.9034
20.95861,-89.01933
20.95863,-88.88426
20.95923,-89.0237
20.96001,-88.74208
20.96076,-88.90903
20.96106,-88.90426
20.96114,-89.11438
20.96136,-89.33024
20.96147,-89.14268
20.96283,-89.02472
20.96302,-89.16803
20.96374,-88.91012
20.96434,-88.75173
20.96518,-89.95314
20.96528,-88.07741
20.96561,-88.74455
20.96594,-88.89765
20.96634,-88.90126
20.96645,-88.96397
20.96672,-89.17974
20.96703,-88.98819
20.9675,-88.97422
20.96792,-89.11321
20.96793,-87.757
20.96795,-89.02642
20.96805,-88.89169
20.96848,-88.98129
20.96876,-89.11207
20.96991,-88.89832
20.96994,-89.18877
20.97077,-88.99584
20.9723,-88.96784
20.97258,-88.89283
20.97263,-89.02301
20.97265,-88.97319
20.9731,-89.19401
20.97354,-88.53876
20.97377,-89.69087
20.9743,-88.74461
20.97474,-88.74097
20.9759,-89.00333
20.9765,-89.02464
20.97822,-88.74401
20.98016,-88.96617
20.98054,-89.37801
20.98251,-88.74343
20.98294,-88.73891
20.9832,-89.34296
20.98338,-89.34329
20.98618,-88.97154
20.98626,-89.70212
20.98647,-89.45127
20.98667,-88.74194
20.98751,-89.45516
20.98754,-89.3512
20.98767,-88.95438
20.98768,-88.9473
20.98806,-87.75554
20.98818,-88.94085
20.9883,-87.74576
20.98991,-88.43633
20.99013,-89.22445
20.99025,-89.02734
20.99028,-88.96992
20.99062,-88.97449
20.99101,-88.73933
20.99102,-88.96027
20.9913,-88.95042
20.9914,-89.37292
20.9914,-89.02148
20.99163,-88.96542
20.9917,-89.37765
20.99179,-88.95507
20.99267,-89.44677
20.99283,-87.7098
20.99311,-87.75632
20.99317,-88.52843
20.99321,-88.32944
20.99321,-88.16021
20.99342,-87.80511
20.99455,-88.9696
20.9953,-87.8582
20.99535,-89.03062
20.99555,-89.67315
20.99593,-87.77319
20.99673,-89.3819
20.99675,-88.94143
20.99703,-88.97471
20.99737,-89.20825
20.99763,-88.95883
20.99763,-88.95454
20.99832,-88.88992
20.99883,-88.9419
20.99901,-88.94785
20.99923,-88.41444
21.00116,-88.9324
21.00118,-88.89989
21.00123,-88.43016
21.00133,-88.9738
21.00145,-87.72949
21.00191,-87.80371
